experiment,model,dataset,seed,requested_k,actual_k,num_classes,acc,nmi,runtime_seconds,status,error
cluster,vaebm,search_snippets,42,8,8,8,0.6404376012965964,0.44033843957390006,89.364,ok,
cluster,bertopic,search_snippets,42,8,8,8,0.7991085899513777,0.6648333598146912,29.455,ok,
cluster,sbert_kmeans,hicot_agnews,42,4,4,4,embeddings,kmeans_on_embeddings,0.76936,0.537252990964379,0.5379286829646067,0.5371306447667623,0.5280629242922918,0.5467685991412763,0.5372529909643791,0.76936,0.033968087285757065,4.569493469951269,346.386398476029,20.863,ok,
