model,dataset,k,cv,purity,nmi,td,seed,runtime_seconds,status,error
vaebm,search_snippets,50,0.6161575876960478,0.7468395461912479,0.38204642466598665,0.66,42,113.496,ok,
bertopic,search_snippets,50,0.4554208405666126,0.88354943273906,0.5383245418011808,0.932,42,40.46,ok,
vaebm,search_snippets,50,0.6161575876960478,0.7468395461912479,0.38204642466598665,0.66,42,114.735,ok,
bertopic,search_snippets,50,0.49512063475138196,0.8822528363047002,0.5382936419202109,0.928,42,40.118,ok,
vaebm,search_snippets,100,0.6116672475091347,0.7556726094003241,0.3613658829110529,0.605,42,103.707,ok,
bertopic,search_snippets,100,0.4983091469372177,0.8965964343598055,0.4950545161827856,0.881,42,25.688,ok,
bertopic,search_snippets,50,0.4405307416574539,0.8751215559157213,0.5235029084372691,0.93,42,50.789,ok,
bertopic,search_snippets,50,0.4405307416574539,0.8751215559157213,0.5235029084372691,0.93,42,48.048,ok,
